County,State,Pollutant,Trend Statistic,total_trend_sites,avg_last5
Dearborn County,IN,O3,4th Max,9.0,0.068
Dearborn County,IN,PM10,2nd Max,2.0,44.4
Dearborn County,IN,PM2.5,98th Percentile,4.0,22.2
Dearborn County,IN,PM2.5,Weighted Annual Mean,4.0,9.24
Delaware County,IN,O3,4th Max,1.0,0.0648
Delaware County,IN,PM2.5,98th Percentile,1.0,20.6
Delaware County,IN,PM2.5,Weighted Annual Mean,1.0,8.2
Delaware County,IN,Pb,Max 3-Month Average,1.0,0.038
Delaware County,OH,O3,4th Max,5.0,0.0636
Delaware County,OH,PM2.5,98th Percentile,1.0,21.8
Delaware County,OH,PM2.5,Weighted Annual Mean,1.0,8.76
Delaware County,PA,CO,2nd Max,1.0,0.96
Delaware County,PA,NO2,98th Percentile,1.0,41.0
Delaware County,PA,NO2,Annual Mean,2.0,9.0
Delaware County,PA,O3,4th Max,12.0,0.0664
Delaware County,PA,PM2.5,98th Percentile,9.0,20.4
Delaware County,PA,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Delaware County,PA,SO2,99th Percentile,2.0,5.8
Denton County,TX,NO2,98th Percentile,5.0,37.4
Denton County,TX,NO2,Annual Mean,7.0,6.2
Denton County,TX,O3,4th Max,15.0,0.0724
Denton County,TX,PM2.5,98th Percentile,4.0,21.2
Denton County,TX,PM2.5,Weighted Annual Mean,4.0,9.14
Denton County,TX,SO2,99th Percentile,2.0,8.8
Denver County,CO,CO,2nd Max,2.0,1.4600000000000002
Denver County,CO,NO2,Annual Mean,2.0,15.8
Denver County,CO,O3,4th Max,5.0,0.0782
Denver County,CO,PM10,2nd Max,2.0,72.5
Denver County,CO,PM2.5,98th Percentile,2.0,21.8
Denver County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Denver County,CO,SO2,99th Percentile,2.0,5.6
Dickson County,TN,NO2,Annual Mean,1.0,6.6
Dickson County,TN,O3,4th Max,5.0,0.0644
Dinwiddie County,VA,NO2,98th Percentile,1.0,27.8
Dinwiddie County,VA,NO2,Annual Mean,1.0,3.8
Dinwiddie County,VA,O3,4th Max,5.0,0.0598
Dinwiddie County,VA,PM2.5,98th Percentile,3.0,16.4
Dinwiddie County,VA,PM2.5,Weighted Annual Mean,3.0,6.859999999999999
Dinwiddie County,VA,SO2,99th Percentile,1.0,5.4
District of Columbia,DC,CO,2nd Max,1.0,1.16
District of Columbia,DC,NO2,98th Percentile,4.0,35.0
District of Columbia,DC,NO2,Annual Mean,5.0,8.0
District of Columbia,DC,O3,4th Max,13.0,0.0638
District of Columbia,DC,PM2.5,98th Percentile,5.0,19.2
District of Columbia,DC,PM2.5,Weighted Annual Mean,5.0,7.24
Doddridge County,WV,PM2.5,98th Percentile,1.0,16.0
Doddridge County,WV,PM2.5,Weighted Annual Mean,1.0,7.279999999999999
Dodge County,MN,PM2.5,98th Percentile,1.0,21.8
Dodge County,MN,PM2.5,Weighted Annual Mean,1.0,6.9
Dorado Municipio,PR,PM10,2nd Max,1.0,100.6
Dorado Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Dorado Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Dorchester County,MD,O3,4th Max,1.0,0.0634
Dorchester County,SC,NO2,Annual Mean,1.0,6.2
Dorchester County,SC,O3,4th Max,1.0,0.056799999999999996
Dorchester County,SC,PM10,2nd Max,1.0,49.0
Dorchester County,SC,PM2.5,98th Percentile,2.0,15.4
Dorchester County,SC,PM2.5,Weighted Annual Mean,2.0,6.959999999999999
Dorchester County,SC,SO2,99th Percentile,1.0,10.4
Dougherty County,GA,PM2.5,98th Percentile,1.0,26.6
Dougherty County,GA,PM2.5,Weighted Annual Mean,1.0,9.32
Douglas County,CO,CO,2nd Max,2.0,1.4600000000000002
Douglas County,CO,NO2,Annual Mean,2.0,15.8
Douglas County,CO,O3,4th Max,5.0,0.0782
Douglas County,CO,PM10,2nd Max,2.0,72.5
Douglas County,CO,PM2.5,98th Percentile,2.0,21.8
Douglas County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Douglas County,CO,SO2,99th Percentile,2.0,5.6
Douglas County,GA,O3,4th Max,9.0,0.066
Douglas County,GA,PM2.5,98th Percentile,4.0,20.2
Douglas County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Douglas County,GA,SO2,99th Percentile,1.0,4.2
Douglas County,NE,PM10,2nd Max,3.0,59.46
Douglas County,NE,PM2.5,98th Percentile,5.0,20.6
Douglas County,NE,PM2.5,Weighted Annual Mean,5.0,7.4799999999999995
Douglas County,NE,SO2,99th Percentile,1.0,41.0
Douglas County,WI,O3,4th Max,1.0,0.057999999999999996
Douglas County,WI,PM10,2nd Max,2.0,57.3
Douglas County,WI,PM2.5,98th Percentile,2.0,19.0
Douglas County,WI,PM2.5,Weighted Annual Mean,2.0,5.28
Doña Ana County,NM,NO2,98th Percentile,2.0,46.6
Doña Ana County,NM,NO2,Annual Mean,2.0,6.8
Doña Ana County,NM,O3,4th Max,4.0,0.074
Doña Ana County,NM,PM10,2nd Max,1.0,71.2
Doña Ana County,NM,PM2.5,98th Percentile,1.0,12.6
Doña Ana County,NM,PM2.5,Weighted Annual Mean,1.0,5.12
DuPage County,IL,NO2,98th Percentile,2.0,54.2
DuPage County,IL,NO2,Annual Mean,3.0,14.199999999999998
DuPage County,IL,O3,4th Max,18.0,0.0728
DuPage County,IL,PM10,2nd Max,5.0,84.75999999999999
DuPage County,IL,PM2.5,98th Percentile,5.0,21.4
DuPage County,IL,PM2.5,Weighted Annual Mean,5.0,8.6
DuPage County,IL,Pb,Max 3-Month Average,1.0,0.018
DuPage County,IL,SO2,99th Percentile,3.0,17.8
Dubois County,IN,PM10,2nd Max,1.0,35.4
Dubois County,IN,PM2.5,98th Percentile,1.0,21.2
Dubois County,IN,PM2.5,Weighted Annual Mean,1.0,8.680000000000001
Dunn County,ND,O3,4th Max,1.0,0.0606
Dunn County,ND,PM2.5,98th Percentile,1.0,19.2
Dunn County,ND,PM2.5,Weighted Annual Mean,1.0,5.06
Dunn County,ND,SO2,99th Percentile,1.0,5.2
Durham County,NC,O3,4th Max,2.0,0.060399999999999995
Duval County,FL,NO2,Annual Mean,1.0,6.2
Duval County,FL,O3,4th Max,2.0,0.06
Duval County,FL,PM2.5,98th Percentile,2.0,14.6
Duval County,FL,PM2.5,Weighted Annual Mean,2.0,6.960000000000001
Duval County,FL,SO2,99th Percentile,2.0,29.0
East Baton Rouge Parish,LA,CO,2nd Max,1.0,0.86
East Baton Rouge Parish,LA,NO2,98th Percentile,5.0,24.2
East Baton Rouge Parish,LA,NO2,Annual Mean,5.0,4.2
East Baton Rouge Parish,LA,O3,4th Max,9.0,0.0664
East Baton Rouge Parish,LA,PM2.5,98th Percentile,3.0,19.0
East Baton Rouge Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
East Baton Rouge Parish,LA,SO2,99th Percentile,2.0,16.4
East Feliciana Parish,LA,CO,2nd Max,1.0,0.86
East Feliciana Parish,LA,NO2,98th Percentile,5.0,24.2
East Feliciana Parish,LA,NO2,Annual Mean,5.0,4.2
East Feliciana Parish,LA,O3,4th Max,9.0,0.0664
East Feliciana Parish,LA,PM2.5,98th Percentile,3.0,19.0
East Feliciana Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
East Feliciana Parish,LA,SO2,99th Percentile,2.0,16.4
Eaton County,MI,O3,4th Max,2.0,0.0628
Echols County,GA,PM2.5,98th Percentile,1.0,19.2
Echols County,GA,PM2.5,Weighted Annual Mean,1.0,8.4
Eddy County,NM,NO2,Annual Mean,1.0,5.0
Eddy County,NM,O3,4th Max,1.0,0.0776
Edgecombe County,NC,O3,4th Max,1.0,0.060399999999999995
Edgefield County,SC,O3,4th Max,3.0,0.05939999999999999
Edgefield County,SC,PM2.5,98th Percentile,2.0,20.8
Edgefield County,SC,PM2.5,Weighted Annual Mean,2.0,8.7
Edmonson County,KY,O3,4th Max,1.0,0.0618
Effingham County,GA,O3,4th Max,1.0,0.058199999999999995
Effingham County,GA,SO2,99th Percentile,1.0,27.8
Effingham County,IL,O3,4th Max,1.0,0.066
El Dorado County,CA,CO,2nd Max,1.0,1.3
El Dorado County,CA,NO2,98th Percentile,2.0,29.0
El Dorado County,CA,NO2,Annual Mean,5.0,4.0
El Dorado County,CA,O3,4th Max,12.0,0.07
El Dorado County,CA,PM10,2nd Max,4.0,63.52
El Dorado County,CA,PM2.5,98th Percentile,3.0,30.0
El Dorado County,CA,PM2.5,Weighted Annual Mean,3.0,8.879999999999999
El Paso County,CO,O3,4th Max,1.0,0.0704
El Paso County,TX,NO2,Annual Mean,3.0,12.6
El Paso County,TX,O3,4th Max,6.0,0.0694
El Paso County,TX,PM10,2nd Max,1.0,89.0
Elbert County,CO,CO,2nd Max,2.0,1.4600000000000002
Elbert County,CO,NO2,Annual Mean,2.0,15.8
Elbert County,CO,O3,4th Max,5.0,0.0782
Elbert County,CO,PM10,2nd Max,2.0,72.5
Elbert County,CO,PM2.5,98th Percentile,2.0,21.8
Elbert County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Elbert County,CO,SO2,99th Percentile,2.0,5.6
Elk County,PA,O3,4th Max,1.0,0.06
Elkhart County,IN,O3,4th Max,1.0,0.0628
Ellis County,TX,NO2,98th Percentile,5.0,37.4
Ellis County,TX,NO2,Annual Mean,7.0,6.2
Ellis County,TX,O3,4th Max,15.0,0.0724
Ellis County,TX,PM2.5,98th Percentile,4.0,21.2
Ellis County,TX,PM2.5,Weighted Annual Mean,4.0,9.14
Ellis County,TX,SO2,99th Percentile,2.0,8.8
Elmore County,AL,O3,4th Max,2.0,0.058199999999999995
Erie County,NY,CO,2nd Max,1.0,0.8
Erie County,NY,NO2,Annual Mean,1.0,8.4
Erie County,NY,O3,4th Max,2.0,0.06520000000000001
Erie County,NY,PM2.5,98th Percentile,1.0,18.8
Erie County,NY,PM2.5,Weighted Annual Mean,1.0,7.1
Erie County,NY,SO2,99th Percentile,1.0,9.6
Erie County,PA,NO2,98th Percentile,1.0,32.2
Erie County,PA,NO2,Annual Mean,1.0,4.6
Erie County,PA,O3,4th Max,1.0,0.0616
Erie County,PA,PM10,2nd Max,1.0,42.8
Erie County,PA,PM2.5,98th Percentile,1.0,19.0
Erie County,PA,PM2.5,Weighted Annual Mean,1.0,6.640000000000001
Escambia County,FL,O3,4th Max,2.0,0.061399999999999996
Escambia County,FL,PM2.5,98th Percentile,1.0,19.4
Escambia County,FL,PM2.5,Weighted Annual Mean,1.0,8.52
Escambia County,FL,SO2,99th Percentile,1.0,7.0
Essex County,MA,CO,2nd Max,1.0,1.0
Essex County,MA,NO2,98th Percentile,2.0,44.8
Essex County,MA,NO2,Annual Mean,2.0,10.6
Essex County,MA,O3,4th Max,4.0,0.0618
Essex County,MA,PM2.5,98th Percentile,5.0,15.2
Essex County,MA,PM2.5,Weighted Annual Mean,5.0,5.960000000000001
Essex County,MA,SO2,99th Percentile,2.0,2.0
Essex County,NJ,CO,2nd Max,4.0,1.5399999999999998
Essex County,NJ,NO2,98th Percentile,3.0,47.0
Essex County,NJ,NO2,Annual Mean,4.0,12.8
Essex County,NJ,O3,4th Max,16.0,0.0668
Essex County,NJ,PM10,2nd Max,1.0,33.4
Essex County,NJ,PM2.5,98th Percentile,10.0,20.6
Essex County,NJ,PM2.5,Weighted Annual Mean,10.0,7.44
Essex County,NJ,SO2,99th Percentile,7.0,4.8
Etowah County,AL,O3,4th Max,1.0,0.0602
Etowah County,AL,PM2.5,98th Percentile,1.0,19.8
Etowah County,AL,PM2.5,Weighted Annual Mean,1.0,8.52
Fairfax County,VA,CO,2nd Max,1.0,1.16
Fairfax County,VA,NO2,98th Percentile,4.0,35.0
Fairfax County,VA,NO2,Annual Mean,5.0,8.0
Fairfax County,VA,O3,4th Max,13.0,0.0638
Fairfax County,VA,PM2.5,98th Percentile,5.0,19.2
Fairfax County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Fairfax city,VA,CO,2nd Max,1.0,1.16
Fairfax city,VA,NO2,98th Percentile,4.0,35.0
Fairfax city,VA,NO2,Annual Mean,5.0,8.0
Fairfax city,VA,O3,4th Max,13.0,0.0638
Fairfax city,VA,PM2.5,98th Percentile,5.0,19.2
Fairfax city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Fairfield County,OH,O3,4th Max,5.0,0.0636
Fairfield County,OH,PM2.5,98th Percentile,1.0,21.8
Fairfield County,OH,PM2.5,Weighted Annual Mean,1.0,8.76
Fairfield County,SC,O3,4th Max,3.0,0.059
Fairfield County,SC,PM2.5,98th Percentile,2.0,17.4
Fairfield County,SC,PM2.5,Weighted Annual Mean,2.0,7.540000000000001
Fajardo Municipio,PR,PM10,2nd Max,1.0,100.6
Fajardo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Fajardo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Falls Church city,VA,CO,2nd Max,1.0,1.16
Falls Church city,VA,NO2,98th Percentile,4.0,35.0
Falls Church city,VA,NO2,Annual Mean,5.0,8.0
Falls Church city,VA,O3,4th Max,13.0,0.0638
Falls Church city,VA,PM2.5,98th Percentile,5.0,19.2
Falls Church city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Faulkner County,AR,NO2,98th Percentile,1.0,33.0
Faulkner County,AR,NO2,Annual Mean,1.0,6.4
Faulkner County,AR,O3,4th Max,2.0,0.0634
Faulkner County,AR,PM10,2nd Max,1.0,35.2
Faulkner County,AR,PM2.5,98th Percentile,1.0,20.2
Faulkner County,AR,PM2.5,Weighted Annual Mean,1.0,9.16
Fauquier County,VA,CO,2nd Max,1.0,1.16
Fauquier County,VA,NO2,98th Percentile,4.0,35.0
Fauquier County,VA,NO2,Annual Mean,5.0,8.0
Fauquier County,VA,O3,4th Max,13.0,0.0638
Fauquier County,VA,PM2.5,98th Percentile,5.0,19.2
Fauquier County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Fayette County,GA,O3,4th Max,9.0,0.066
Fayette County,GA,PM2.5,98th Percentile,4.0,20.2
Fayette County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Fayette County,GA,SO2,99th Percentile,1.0,4.2
Fayette County,KY,NO2,98th Percentile,1.0,40.4
Fayette County,KY,NO2,Annual Mean,1.0,5.8
Fayette County,KY,O3,4th Max,2.0,0.0636
Fayette County,KY,PM2.5,98th Percentile,1.0,19.6
Fayette County,KY,PM2.5,Weighted Annual Mean,1.0,7.62
Fayette County,KY,SO2,99th Percentile,1.0,3.4
Fayette County,OH,O3,4th Max,1.0,0.056999999999999995
Fayette County,PA,NO2,98th Percentile,2.0,34.8
Fayette County,PA,NO2,Annual Mean,2.0,7.2
Fayette County,PA,O3,4th Max,10.0,0.063
Fayette County,PA,PM10,2nd Max,5.0,51.239999999999995
Fayette County,PA,PM2.5,98th Percentile,10.0,21.8
Fayette County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Fayette County,PA,SO2,99th Percentile,5.0,19.8
Fayette County,TN,O3,4th Max,4.0,0.0674
Fillmore County,MN,PM2.5,98th Percentile,1.0,21.8
Fillmore County,MN,PM2.5,Weighted Annual Mean,1.0,6.9
Flagler County,FL,O3,4th Max,1.0,0.0578
Flagler County,FL,PM10,2nd Max,1.0,51.8
Flagler County,FL,PM2.5,98th Percentile,1.0,16.0
Flagler County,FL,PM2.5,Weighted Annual Mean,1.0,7.1800000000000015
Flathead County,MT,O3,4th Max,1.0,0.054200000000000005
Flathead County,MT,PM10,2nd Max,2.0,103.5
Florence County,SC,O3,4th Max,1.0,0.0586
Florida Municipio,PR,PM10,2nd Max,1.0,100.6
Florida Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Florida Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Floyd County,IN,O3,4th Max,5.0,0.0654
Floyd County,IN,SO2,99th Percentile,3.0,8.0
Fond du Lac County,WI,O3,4th Max,1.0,0.0644
Forsyth County,GA,O3,4th Max,9.0,0.066
Forsyth County,GA,PM2.5,98th Percentile,4.0,20.2
Forsyth County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Forsyth County,GA,SO2,99th Percentile,1.0,4.2
Forsyth County,NC,NO2,98th Percentile,1.0,34.2
Forsyth County,NC,NO2,Annual Mean,1.0,6.2
Forsyth County,NC,O3,4th Max,2.0,0.063
Forsyth County,NC,PM10,2nd Max,1.0,46.8
Forsyth County,NC,PM2.5,98th Percentile,2.0,20.0
Forsyth County,NC,PM2.5,Weighted Annual Mean,2.0,8.28
Forsyth County,NC,SO2,99th Percentile,1.0,3.6
Fort Bend County,TX,CO,2nd Max,1.0,1.16
Fort Bend County,TX,NO2,98th Percentile,8.0,37.0
Fort Bend County,TX,NO2,Annual Mean,10.0,7.2
Fort Bend County,TX,O3,4th Max,15.0,0.07260000000000001
Fort Bend County,TX,PM10,2nd Max,4.0,64.92
Fort Bend County,TX,PM2.5,98th Percentile,3.0,22.8
Fort Bend County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
Fort Bend County,TX,SO2,99th Percentile,2.0,10.4
Franklin County,IN,O3,4th Max,9.0,0.068
Franklin County,IN,PM10,2nd Max,2.0,44.4
Franklin County,IN,PM2.5,98th Percentile,4.0,22.2
Franklin County,IN,PM2.5,Weighted Annual Mean,4.0,9.24
Franklin County,MO,NO2,98th Percentile,1.0,38.8
Franklin County,MO,NO2,Annual Mean,1.0,8.8
Franklin County,MO,O3,4th Max,9.0,0.069
Franklin County,MO,PM2.5,98th Percentile,2.0,21.0
Franklin County,MO,PM2.5,Weighted Annual Mean,2.0,8.4
Franklin County,MO,Pb,Max 3-Month Average,2.0,0.06
Franklin County,MO,SO2,99th Percentile,3.0,8.2
Franklin County,NC,O3,4th Max,2.0,0.062
Franklin County,NC,PM2.5,98th Percentile,1.0,20.8
Franklin County,NC,PM2.5,Weighted Annual Mean,1.0,8.16
Franklin County,OH,O3,4th Max,5.0,0.0636
Franklin County,OH,PM2.5,98th Percentile,1.0,21.8
Franklin County,OH,PM2.5,Weighted Annual Mean,1.0,8.76
Franklin County,PA,O3,4th Max,1.0,0.0588
Franklin County,VA,NO2,98th Percentile,1.0,32.0
Franklin County,VA,NO2,Annual Mean,1.0,5.0
Franklin County,VA,O3,4th Max,1.0,0.0588
Franklin County,VA,SO2,99th Percentile,1.0,3.0
Franklin County,VT,O3,4th Max,1.0,0.058399999999999994
Frederick County,MD,CO,2nd Max,1.0,1.16
Frederick County,MD,NO2,98th Percentile,4.0,35.0
Frederick County,MD,NO2,Annual Mean,5.0,8.0
Frederick County,MD,O3,4th Max,13.0,0.0638
Frederick County,MD,PM2.5,98th Percentile,5.0,19.2
Frederick County,MD,PM2.5,Weighted Annual Mean,5.0,7.24
Frederick County,VA,O3,4th Max,1.0,0.0578
Fredericksburg city,VA,CO,2nd Max,1.0,1.16
Fredericksburg city,VA,NO2,98th Percentile,4.0,35.0
Fredericksburg city,VA,NO2,Annual Mean,5.0,8.0
Fredericksburg city,VA,O3,4th Max,13.0,0.0638
Fredericksburg city,VA,PM2.5,98th Percentile,5.0,19.2
Fredericksburg city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Fremont County,WY,PM2.5,98th Percentile,1.0,25.4
Fremont County,WY,PM2.5,Weighted Annual Mean,1.0,6.9799999999999995
Fresno County,CA,CO,2nd Max,1.0,1.28
Fresno County,CA,NO2,98th Percentile,1.0,44.4
Fresno County,CA,NO2,Annual Mean,4.0,8.4
Fresno County,CA,O3,4th Max,5.0,0.0814
Fresno County,CA,PM10,2nd Max,2.0,128.1
Fresno County,CA,PM2.5,98th Percentile,2.0,48.4
Fresno County,CA,PM2.5,Weighted Annual Mean,2.0,13.26
Fulton County,GA,O3,4th Max,9.0,0.066
Fulton County,GA,PM2.5,98th Percentile,4.0,20.2
Fulton County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Fulton County,GA,SO2,99th Percentile,1.0,4.2
Fulton County,OH,O3,4th Max,4.0,0.06760000000000001
Fulton County,OH,PM2.5,98th Percentile,2.0,21.8
Fulton County,OH,PM2.5,Weighted Annual Mean,2.0,8.040000000000001
Gadsden County,FL,O3,4th Max,2.0,0.0576
Gadsden County,FL,PM2.5,98th Percentile,1.0,17.0
Gadsden County,FL,PM2.5,Weighted Annual Mean,1.0,7.5
Gallatin County,KY,O3,4th Max,9.0,0.068
Gallatin County,KY,PM10,2nd Max,2.0,44.4
Gallatin County,KY,PM2.5,98th Percentile,4.0,22.2
Gallatin County,KY,PM2.5,Weighted Annual Mean,4.0,9.24
Galveston County,TX,CO,2nd Max,1.0,1.16
Galveston County,TX,NO2,98th Percentile,8.0,37.0
Galveston County,TX,NO2,Annual Mean,10.0,7.2
Galveston County,TX,O3,4th Max,15.0,0.07260000000000001
Galveston County,TX,PM10,2nd Max,4.0,64.92
Galveston County,TX,PM2.5,98th Percentile,3.0,22.8
Galveston County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
Galveston County,TX,SO2,99th Percentile,2.0,10.4
Gaston County,NC,NO2,98th Percentile,1.0,35.2
Gaston County,NC,NO2,Annual Mean,1.0,6.6
Gaston County,NC,O3,4th Max,6.0,0.0644
Gaston County,NC,PM2.5,98th Percentile,1.0,18.8
Gaston County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Gates County,NC,O3,4th Max,2.0,0.056999999999999995
Gates County,NC,PM10,2nd Max,1.0,21.0
Gates County,NC,PM2.5,98th Percentile,2.0,16.4
Gates County,NC,PM2.5,Weighted Annual Mean,2.0,6.92
Gem County,ID,CO,2nd Max,1.0,1.28
Gem County,ID,PM10,2nd Max,2.0,94.1
Genesee County,MI,O3,4th Max,2.0,0.067
Genesee County,MI,PM2.5,98th Percentile,1.0,20.0
Genesee County,MI,PM2.5,Weighted Annual Mean,1.0,7.4799999999999995
Gila County,AZ,O3,4th Max,1.0,0.0762
Gila County,AZ,SO2,99th Percentile,1.0,40.2
Gilchrist County,FL,O3,4th Max,1.0,0.0588
Gilpin County,CO,CO,2nd Max,2.0,1.4600000000000002
Gilpin County,CO,NO2,Annual Mean,2.0,15.8
Gilpin County,CO,O3,4th Max,5.0,0.0782
Gilpin County,CO,PM10,2nd Max,2.0,72.5
Gilpin County,CO,PM2.5,98th Percentile,2.0,21.8
Gilpin County,CO,PM2.5,Weighted Annual Mean,2.0,6.540000000000001
Gilpin County,CO,SO2,99th Percentile,2.0,5.6
Gloucester County,NJ,CO,2nd Max,1.0,0.96
Gloucester County,NJ,NO2,98th Percentile,1.0,41.0
Gloucester County,NJ,NO2,Annual Mean,2.0,9.0
Gloucester County,NJ,O3,4th Max,12.0,0.0664
Gloucester County,NJ,PM2.5,98th Percentile,9.0,20.4
Gloucester County,NJ,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Gloucester County,NJ,SO2,99th Percentile,2.0,5.8
Gloucester County,VA,O3,4th Max,2.0,0.056999999999999995
Gloucester County,VA,PM10,2nd Max,1.0,21.0
Gloucester County,VA,PM2.5,98th Percentile,2.0,16.4
Gloucester County,VA,PM2.5,Weighted Annual Mean,2.0,6.92
Glynn County,GA,O3,4th Max,1.0,0.055999999999999994
Glynn County,GA,PM2.5,98th Percentile,1.0,18.2
Glynn County,GA,PM2.5,Weighted Annual Mean,1.0,7.9
Goliad County,TX,O3,4th Max,1.0,0.060399999999999995
Goochland County,VA,NO2,98th Percentile,1.0,27.8
Goochland County,VA,NO2,Annual Mean,1.0,3.8
Goochland County,VA,O3,4th Max,5.0,0.0598
Goochland County,VA,PM2.5,98th Percentile,3.0,16.4
Goochland County,VA,PM2.5,Weighted Annual Mean,3.0,6.859999999999999
Goochland County,VA,SO2,99th Percentile,1.0,5.4
Grady County,OK,O3,4th Max,4.0,0.068
Grady County,OK,PM10,2nd Max,1.0,38.8
Grady County,OK,PM2.5,98th Percentile,2.0,19.2
Grady County,OK,PM2.5,Weighted Annual Mean,2.0,8.36
Grainger County,TN,O3,4th Max,5.0,0.0606
Grand Isle County,VT,O3,4th Max,1.0,0.058399999999999994
Grand Traverse County,MI,O3,4th Max,1.0,0.06620000000000001
Grant County,AR,NO2,98th Percentile,1.0,33.0
Grant County,AR,NO2,Annual Mean,1.0,6.4
Grant County,AR,O3,4th Max,2.0,0.0634
Grant County,AR,PM10,2nd Max,1.0,35.2
Grant County,AR,PM2.5,98th Percentile,1.0,20.2
Grant County,AR,PM2.5,Weighted Annual Mean,1.0,9.16
Grant County,KY,O3,4th Max,9.0,0.068
Grant County,KY,PM10,2nd Max,2.0,44.4
Grant County,KY,PM2.5,98th Percentile,4.0,22.2
Grant County,KY,PM2.5,Weighted Annual Mean,4.0,9.24
Grant County,WI,PM2.5,98th Percentile,1.0,23.8
Grant County,WI,PM2.5,Weighted Annual Mean,1.0,7.959999999999999
Greater Bridgeport Planning Region,CT,O3,4th Max,4.0,0.0782
Greater Bridgeport Planning Region,CT,PM2.5,98th Percentile,2.0,20.8
Greater Bridgeport Planning Region,CT,PM2.5,Weighted Annual Mean,2.0,7.26
Green County,WI,O3,4th Max,2.0,0.0678
Green County,WI,PM2.5,98th Percentile,1.0,25.0
Green County,WI,PM2.5,Weighted Annual Mean,1.0,8.12
Greene County,AL,O3,4th Max,1.0,0.0576
Greene County,MO,O3,4th Max,1.0,0.063
Greenup County,KY,NO2,98th Percentile,1.0,28.0
Greenup County,KY,NO2,Annual Mean,1.0,5.2
Greenup County,KY,O3,4th Max,3.0,0.05820000000000001
Greenup County,KY,PM10,2nd Max,1.0,48.2
Greenup County,KY,PM2.5,98th Percentile,1.0,18.0
Greenup County,KY,PM2.5,Weighted Annual Mean,1.0,7.159999999999999
Greenup County,KY,SO2,99th Percentile,2.0,6.4
Gregg County,TX,NO2,98th Percentile,1.0,17.6
Gregg County,TX,NO2,Annual Mean,1.0,2.8
Gregg County,TX,O3,4th Max,1.0,0.0634
Gregg County,TX,SO2,99th Percentile,1.0,33.0
Grundy County,IA,O3,4th Max,1.0,0.0638
Grundy County,IL,NO2,98th Percentile,2.0,54.2
Grundy County,IL,NO2,Annual Mean,3.0,14.199999999999998
Grundy County,IL,O3,4th Max,18.0,0.0728
Grundy County,IL,PM10,2nd Max,5.0,84.75999999999999
Grundy County,IL,PM2.5,98th Percentile,5.0,21.4
Grundy County,IL,PM2.5,Weighted Annual Mean,5.0,8.6
Grundy County,IL,Pb,Max 3-Month Average,1.0,0.018
Grundy County,IL,SO2,99th Percentile,3.0,17.8
Guadalupe County,TX,NO2,98th Percentile,1.0,34.2
Guadalupe County,TX,NO2,Annual Mean,1.0,4.4
Guadalupe County,TX,O3,4th Max,3.0,0.07160000000000001
Guadalupe County,TX,PM10,2nd Max,1.0,62.2
Guaynabo Municipio,PR,PM10,2nd Max,1.0,100.6
Guaynabo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Guaynabo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Guilford County,NC,O3,4th Max,2.0,0.0628
Guilford County,NC,PM2.5,98th Percentile,1.0,17.8
Guilford County,NC,PM2.5,Weighted Annual Mean,1.0,7.8
Gurabo Municipio,PR,PM10,2nd Max,1.0,100.6
Gurabo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Gurabo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Guthrie County,IA,PM2.5,98th Percentile,2.0,19.0
Guthrie County,IA,PM2.5,Weighted Annual Mean,2.0,7.5200000000000005
Gwinnett County,GA,O3,4th Max,9.0,0.066
Gwinnett County,GA,PM2.5,98th Percentile,4.0,20.2
Gwinnett County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Gwinnett County,GA,SO2,99th Percentile,1.0,4.2
Hale County,AL,O3,4th Max,1.0,0.0576
